CONTAINER_NUMBER,VESSEL_NAME,FREIGHT_FORWARDER,PLACE_OF_DISPATCH,PORT_OF_LOADING,PORT_OF_DISCHARGE,POST_PORT_OF_DISCHARGE,PLACE_OF_DISPATCH_DATE,PORT_OF_LOADING_DATE,PORT_OF_DISCHARGE_DATE,POST_PORT_OF_DISCHARGE_DATE,PREDICTED_DELIVERED_DATE,LAST_TRACKED_WITH_VESSEL,DELIVERED_FLAG,DELIVERED_DATE
TCNU1563215,PRESIDENT KENNEDY,GWW,"Calipatria, California, United States","Los Angeles, California, United States","Dalian, Liaoning Sheng, China","Dallas, Texas, United States",19/8/21,22/8/21,22/9/21,18/7/21,9/10/21,24/8/21,,
TCNU2580963,COSCO PORTUGAL,Axiom,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",20/7/21,27/7/21,14/8/21,19/8/21,23/8/21,24/8/21,Yes,2/9/21
TEMU7138907,MSC DAMLA,Yuesheng,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Houston, Texas, United States",,29/6/21,29/6/21,18/8/21,,4/9/21,21/8/21,Yes,24/8/21
MEDU9464392,SOL MALAYSIA,,"Chattogram, Chittagong, Bangladesh","Chattogram, Chittagong, Bangladesh","Long Beach, California, United States","Dallas, Texas, United States",9/6/21,9/6/21,18/8/21,27/8/21,27/8/21,24/8/21,Yes,7/9/21
XHCU5064723,,1st charter,,,,,,,,,12/11/21,,Yes,12/11/21
TCNU7075901,OOCL SOUTHAMPTON,,"Dallas, Texas, United States","Long Beach, California, United States","Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China",28/6/21,15/7/21,31/7/21,31/7/21,17/8/21,19/7/21,Yes,24/6/21
MEDU8998916,MSC FAITH,JAS,"Vung Tau, Tinh Ba Ria-Vung Tau, Vietnam","Ho Chi Minh City, Ho Chi Minh City, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",3/7/21,3/7/21,18/8/21,16/8/21,4/9/21,24/8/21,Yes,25/8/21
TRHU7759847,COSCO ITALY,Axiom,"Nansha, Guangdong Sheng, China","Nansha, Guangdong Sheng, China","Long Beach, California, United States","Gainesville, Texas, United States",12/6/21,5/7/21,27/7/21,2/8/21,6/8/21,8/8/21,Yes,9/8/21
MSCU5457130,HR FARHA,,"Chattogram, Chittagong, Bangladesh","Chattogram, Chittagong, Bangladesh","Long Beach, California, United States","Dallas, Texas, United States",17/6/21,17/6/21,23/8/21,31/8/21,31/8/21,1/9/21,Yes,8/9/21
OOCU9086433,,Axiom,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","Long Beach, California, United States","Dallas, Texas, United States",6/6/21,6/6/21,19/6/21,,6/7/21,12/7/21,Yes,13/7/21
OOCU6543984,COSCO NETHERLANDS,Axiom,,,,,,,,,26/7/21,,Yes,27/7/21
MEDU7291472,MSC AURIGA,GWW,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Ho Chi Minh City, Ho Chi Minh City, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",1/6/21,1/6/21,8/7/21,24/7/21,28/7/21,26/7/21,Yes,28/7/21
OOCU7566264,COSCO SPAIN,Axiom,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Cai Mep, Tinh Ba Ria-Vung Tau, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",20/7/21,27/7/21,26/8/21,2/9/21,6/9/21,1/9/21,Yes,3/9/21
SEGU4099204,COSCO SPAIN,Axiom,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Cai Mep, Tinh Ba Ria-Vung Tau, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",20/7/21,27/7/21,27/8/21,2/9/21,6/9/21,31/8/21,Yes,2/9/21
OOLU9991422,,Axiom,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","Long Beach, California, United States","Dallas, Texas, United States",10/9/21,10/9/21,26/9/21,2/10/21,4/10/21,5/10/21,Yes,4/10/21
OOCU7332029,COSCO ITALY,,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",17/3/21,20/3/21,7/4/21,,24/4/21,21/4/21,,
FFAU1940867,HR FARHA,,"Chattogram, Chittagong, Bangladesh","Chattogram, Chittagong, Bangladesh","Long Beach, California, United States","Dallas, Texas, United States",17/6/21,17/6/21,23/8/21,31/8/21,31/8/21,1/9/21,Yes,8/9/21
TCNU2707512,CMA CGM ATTILA,Yuesheng,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Houston, Texas, United States","Houston, Texas, United States",20/7/21,20/7/21,,17/9/21,21/9/21,18/9/21,Yes,8/9/21
OOCU7375099,,CIF,,,,,,,,,13/7/21,,Yes,15/7/21
BMOU6987589,CMA CGM ANDROMEDA,LF,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Vung Tau, Tinh Ba Ria-Vung Tau, Vietnam","Los Angeles, California, United States","Dallas, Texas, United States",26/5/21,31/5/21,29/6/21,7/7/21,11/7/21,21/7/21,Yes,15/7/21
FFAU2820589,,,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Durban, KwaZulu-Natal, South Africa","Durban, KwaZulu-Natal, South Africa",16/7/21,16/7/21,7/8/21,,24/8/21,22/7/21,Yes,22/7/21
OOLU6975285,OOCL TAIPEI,Axiom,,,,,,,,,,,Yes,2/7/21
OOCU8681719,EDISON,Axiom,"Bouse, Arizona, United States","Los Angeles, California, United States","Dammam, Eastern Province, Saudi Arabia","Dammam, Eastern Province, Saudi Arabia",24/8/21,6/9/21,17/10/21,18/7/21,21/7/21,24/8/21,,
MEEU7029752,,,,,,,,,,,,,,
TCNU2863222,CMA CGM MARCO POLO,LF,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Vung Tau, Tinh Ba Ria-Vung Tau, Vietnam","Los Angeles, California, United States","Dallas, Texas, United States",29/6/21,4/7/21,10/8/21,16/8/21,18/8/21,24/8/21,Yes,21/8/21
TLLU5055954,MSC VEGA,Focus,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Ho Chi Minh City, Ho Chi Minh City, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",8/7/21,8/7/21,19/8/21,2/9/21,3/9/21,1/9/21,Yes,8/9/21
OOLU8641332,CMA CGM CASSIOPEIA,CIF,,,,,,,,,,,,
OOCU7298813,OOCL UTAH,Axiom,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","Long Beach, California, United States","Gainesville, Texas, United States",6/6/21,13/6/21,30/6/21,12/7/21,12/7/21,13/7/21,Yes,15/7/21
MAGU5333354,,Axiom,,,,,,,,,23/7/21,,Yes,28/7/21
UACU5425860,CONSTANTIA,Jas,"Dallas, Texas, United States","Houston, Texas, United States",,"Dallas, Texas, United States",9/8/21,28/8/21,,2/8/21,4/8/21,24/8/21,Yes,6/8/21
MAGU5522661,,Axiom,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",4/8/21,4/8/21,26/8/21,1/9/21,5/9/21,1/9/21,Yes,8/9/21
MEDU4774760,MSC VALERIA,Focus,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Ho Chi Minh City, Ho Chi Minh City, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",20/7/21,20/7/21,1/9/21,6/9/21,8/9/21,6/9/21,Yes,9/9/21
MEDU7985848,MSC SONIA,LF,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Ho Chi Minh City, Ho Chi Minh City, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",22/7/21,23/7/21,2/9/21,12/9/21,14/9/21,10/9/21,Yes,15/9/21
TRLU5904646,MSC SONIA,LF,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Ho Chi Minh City, Ho Chi Minh City, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",21/7/21,23/7/21,7/9/21,18/9/21,21/9/21,18/9/21,Yes,23/9/21
ZCSU8775015,MSC DAMLA,YUE SHENG,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Houston, Texas, United States",,29/6/21,29/6/21,19/8/21,,5/9/21,30/8/21,Yes,20/8/21
CCLU7745208,CMA CGM G.WASHINGTON,"NINGBO YUE SHENG INTERNATIONAL FREIGHT TRANSPORT AGENT CO., LTD.","Nansha, Guangdong Sheng, China","Nansha, Guangdong Sheng, China","Los Angeles, California, United States","Kansas City, Kansas, United States",28/2/21,28/2/21,3/5/21,10/5/21,14/5/21,16/8/21,Yes,21/7/21
SMCU1238099,CAP SAN JUAN,Aish forwarde,"Qingdao, Shandong Sheng, China","Qingdao, Shandong Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",12/7/21,15/7/21,21/9/21,22/9/21,8/10/21,22/9/21,Yes,23/9/21
TFLU4969715,,Arttime,,,,,,,,,,,Yes,26/10/21
TGBU4694800,MSC FLAVIA,Axiom,"Mawan, Guangdong Sheng, China","Shekou, Guangdong Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",30/6/21,30/6/21,22/7/21,29/7/21,2/8/21,30/7/21,Yes,3/8/21
